Subject	Age	Condition	Item	Frequency	Rating
s108	52	Study1	Item105	75	5
s108	52	Study1	Item167	26	5
s108	52	Study1	Item003	292	5
s108	52	Study1	Item166	725	5
s108	52	Study1	Item166	725	5
s108	52	Study1	Item111	510	5
s108	52	Study1	Item023	685	5
s108	52	Study1	Item075	81	5
s108	52	Study1	Item124	306	5
s108	52	Study1	Item040	132	5
s108	52	Study1	Item079	114	5
s108	52	Study1	Item025	201	5
s108	52	Study1	Item002	54	5
s108	52	Study1	Item153	45	5
s108	52	Study1	Item141	670	5
s108	52	Study1	Item108	321	5
s108	52	Study1	Item041	170	5
s108	52	Study1	Item134	111	5
s108	52	Study1	Item078	257	5
s108	52	Study1	Item052	181	5
s108	52	Study1	Item133	805	5
s108	52	Study1	Item173	471	5
s108	52	Study1	Item043	3	5
s108	52	Study1	Item163	19	5
s108	52	Study1	Item091	81	5
s108	52	Study1	Item181	188	5
s108	52	Study1	Item086	242	5
s108	52	Study1	Item145	82	5
s108	52	Study1	Item035	302	5
s108	52	Study1	Item015	543	5
s108	52	Study1	Item123	234	5
s108	52	Study1	Item059	1053	5
s108	52	Study1	Item084	397	5
s108	52	Study1	Item080	884	5
s108	52	Study1	Item106	24	5
s108	52	Study1	Item104	39	5
s108	52	Study1	Item068	28	5
s108	52	Study1	Item026	281	5
s108	52	Study1	Item126	428	5
s108	52	Study1	Item120	40	5
s108	52	Study1	Item001	215	5
s108	52	Study1	Item090	28	5
s108	52	Study1	Item037	248	5
s108	52	Study1	Item004	300	5
s108	52	Study1	Item055	261	5
s108	52	Study1	Item128	113	5
s108	52	Study1	Item070	88	5
s108	52	Study1	Item062	1010	5
s108	52	Study1	Item151	130	5
s108	52	Study1	Item051	194	5
s108	52	Study1	Item093	22	5
s108	52	Study1	Item164	56	5
s108	52	Study1	Item097	62	5
s108	52	Study1	Item017	57	5
s108	52	Study1	Item083	541	5
s108	52	Study1	Item010	17	5
s108	52	Study1	Item125	345	5
s108	52	Study1	Item096	781	5
s108	52	Study1	Item099	115	5
s108	52	Study1	Item095	244	5
s108	52	Study1	Item053	586	5
s108	52	Study1	Item176	451	5
s108	52	Study1	Item138	151	5
s108	52	Study1	Item171	61	5
s108	52	Study1	Item103	10	5
s108	52	Study1	Item109	121	5
s108	52	Study1	Item044	298	5
s108	52	Study1	Item136	1275	5
s108	52	Study1	Item130	78	5
s108	52	Study1	Item034	503	5
s108	52	Study1	Item032	99	5
s108	52	Study1	Item188	15	1
s108	52	Study1	Item046	1952	5
s108	52	Study1	Item028	12	5
s108	52	Study1	Item107	133	5
s108	52	Study1	Item048	318	5
s108	52	Study1	Item112	256	5
s108	52	Study1	Item186	239	5
s162	18	Study1	Item129	210	3
s162	18	Study1	Item172	135	3
s162	18	Study1	Item165	510	5
s162	18	Study1	Item011	952	5
s162	18	Study1	Item074	492	5
s162	18	Study1	Item121	437	5
s162	18	Study1	Item137	506	5
s162	18	Study1	Item038	104	5
s162	18	Study1	Item087	382	5
s162	18	Study1	Item155	91	5
s162	18	Study1	Item065	785	5
s162	18	Study1	Item029	1473	5
s162	18	Study1	Item006	41	2
s162	18	Study1	Item170	1070	1
s162	18	Study1	Item014	241	5
s162	18	Study1	Item020	24	5
s162	18	Study1	Item072	114	5
s162	18	Study1	Item180	4425	5
s162	18	Study1	Item157	1424	5
s162	18	Study1	Item027	464	5
s162	18	Study1	Item158	38	5
s162	18	Study1	Item054	1281	5
s162	18	Study1	Item105	75	2
s162	18	Study1	Item167	26	5
s162	18	Study1	Item003	292	5
s162	18	Study1	Item166	725	5
s162	18	Study1	Item166	725	5
s162	18	Study1	Item111	510	5
s162	18	Study1	Item023	685	5
s162	18	Study1	Item075	81	5
s162	18	Study1	Item124	306	5
s162	18	Study1	Item040	132	5
s162	18	Study1	Item079	114	3
s162	18	Study1	Item025	201	5
s162	18	Study1	Item002	54	3
s162	18	Study1	Item153	45	2
s162	18	Study1	Item141	670	5
s162	18	Study1	Item108	321	5
s162	18	Study1	Item041	170	5
s162	18	Study1	Item134	111	5
s162	18	Study1	Item078	257	5
s162	18	Study1	Item052	181	5
s162	18	Study1	Item133	805	5
s162	18	Study1	Item173	471	5
s162	18	Study1	Item043	3	5
s162	18	Study1	Item163	19	5
s162	18	Study1	Item091	81	5
s162	18	Study1	Item181	188	5
s162	18	Study1	Item086	242	5
s162	18	Study1	Item145	82	5
s162	18	Study1	Item035	302	1
s162	18	Study1	Item015	543	5
s162	18	Study1	Item123	234	5
s162	18	Study1	Item059	1053	5
s162	18	Study1	Item084	397	5
s162	18	Study1	Item080	884	2
s162	18	Study1	Item106	24	5
s162	18	Study1	Item104	39	3
s162	18	Study1	Item068	28	5
s162	18	Study1	Item026	281	3
s162	18	Study1	Item126	428	5
s162	18	Study1	Item120	40	5
s162	18	Study1	Item001	215	4
s162	18	Study1	Item090	28	5
s162	18	Study1	Item037	248	5
s162	18	Study1	Item004	300	5
s162	18	Study1	Item055	261	5
s162	18	Study1	Item128	113	3
s162	18	Study1	Item070	88	5
s162	18	Study1	Item062	1010	5
s162	18	Study1	Item151	130	4
s162	18	Study1	Item051	194	5
s162	18	Study1	Item093	22	3
s162	18	Study1	Item164	56	5
s162	18	Study1	Item097	62	5
s162	18	Study1	Item017	57	4
s162	18	Study1	Item083	541	5
s162	18	Study1	Item010	17	3
s162	18	Study1	Item125	345	5
s162	18	Study1	Item096	781	3
s162	18	Study1	Item099	115	5
s162	18	Study1	Item095	244	4
s162	18	Study1	Item053	586	5
s162	18	Study1	Item176	451	5
s162	18	Study1	Item138	151	5
s162	18	Study1	Item171	61	5
s162	18	Study1	Item103	10	3
s162	18	Study1	Item109	121	5
s162	18	Study1	Item044	298	5
s162	18	Study1	Item136	1275	5
s162	18	Study1	Item130	78	5
s162	18	Study1	Item034	503	4
s162	18	Study1	Item032	99	4
s162	18	Study1	Item188	15	3
s162	18	Study1	Item046	1952	2
s162	18	Study1	Item028	12	1
s162	18	Study1	Item107	133	3
s162	18	Study1	Item048	318	5
s162	18	Study1	Item112	256	5
s162	18	Study1	Item186	239	3
s257	16	Study1	Item129	210	1
s257	16	Study1	Item172	135	2
s257	16	Study1	Item165	510	5
s257	16	Study1	Item011	952	5
s257	16	Study1	Item074	492	5
s257	16	Study1	Item121	437	5
s257	16	Study1	Item137	506	5
s257	16	Study1	Item038	104	1
s257	16	Study1	Item087	382	1
s257	16	Study1	Item155	91	5
s257	16	Study1	Item065	785	3
s257	16	Study1	Item029	1473	5
s257	16	Study1	Item006	41	5
s257	16	Study1	Item170	1070	3
s257	16	Study1	Item014	241	5
s257	16	Study1	Item020	24	3
s257	16	Study1	Item072	114	3
s257	16	Study1	Item180	4425	5
s257	16	Study1	Item157	1424	5
s257	16	Study1	Item027	464	5
s257	16	Study1	Item158	38	5
s257	16	Study1	Item054	1281	5
s257	16	Study1	Item105	75	3
s257	16	Study1	Item167	26	5
s257	16	Study1	Item003	292	5
s257	16	Study1	Item166	725	2
s257	16	Study1	Item166	725	2
s257	16	Study1	Item111	510	2
s257	16	Study1	Item023	685	5
s257	16	Study1	Item075	81	5
s257	16	Study1	Item124	306	3
s257	16	Study1	Item040	132	3
s257	16	Study1	Item079	114	1
s257	16	Study1	Item025	201	1
s257	16	Study1	Item002	54	1
s257	16	Study1	Item153	45	2
s257	16	Study1	Item141	670	3
s257	16	Study1	Item108	321	4
s257	16	Study1	Item041	170	1
s257	16	Study1	Item134	111	3
s257	16	Study1	Item078	257	1
s257	16	Study1	Item052	181	2
s257	16	Study1	Item133	805	5
s257	16	Study1	Item173	471	4
s257	16	Study1	Item043	3	1
s257	16	Study1	Item163	19	4
s257	16	Study1	Item091	81	4
s257	16	Study1	Item181	188	5
s257	16	Study1	Item086	242	5
s257	16	Study1	Item145	82	5
s257	16	Study1	Item035	302	2
s257	16	Study1	Item015	543	5
s257	16	Study1	Item123	234	5
s257	16	Study1	Item059	1053	5
s257	16	Study1	Item084	397	5
s257	16	Study1	Item080	884	3
s257	16	Study1	Item106	24	5
s257	16	Study1	Item104	39	1
s257	16	Study1	Item068	28	5
s257	16	Study1	Item026	281	1
s257	16	Study1	Item126	428	5
s257	16	Study1	Item120	40	5
s257	16	Study1	Item001	215	3
s257	16	Study1	Item090	28	5
s257	16	Study1	Item037	248	4
s257	16	Study1	Item004	300	4
s257	16	Study1	Item055	261	5
s257	16	Study1	Item128	113	5
s257	16	Study1	Item070	88	5
s257	16	Study1	Item062	1010	3
s257	16	Study1	Item151	130	4
s257	16	Study1	Item051	194	4
s257	16	Study1	Item093	22	3
s257	16	Study1	Item164	56	5
s257	16	Study1	Item097	62	1
s257	16	Study1	Item017	57	5
s257	16	Study1	Item083	541	5
s257	16	Study1	Item010	17	5
s257	16	Study1	Item125	345	3
s257	16	Study1	Item096	781	3
s257	16	Study1	Item099	115	5
s257	16	Study1	Item095	244	2
s257	16	Study1	Item053	586	3
s257	16	Study1	Item176	451	4
s257	16	Study1	Item138	151	5
s257	16	Study1	Item171	61	5
s257	16	Study1	Item103	10	1
s257	16	Study1	Item109	121	5
s257	16	Study1	Item044	298	5
s257	16	Study1	Item136	1275	5
s257	16	Study1	Item130	78	5
s257	16	Study1	Item034	503	5
s257	16	Study1	Item032	99	3
s257	16	Study1	Item188	15	1
s257	16	Study1	Item046	1952	1
s257	16	Study1	Item028	12	1
s257	16	Study1	Item107	133	4
s257	16	Study1	Item048	318	5
s257	16	Study1	Item112	256	5
s257	16	Study1	Item186	239	1
s214	69	Study1	Item129	210	5
s214	69	Study1	Item172	135	5
s214	69	Study1	Item165	510	5
s214	69	Study1	Item011	952	5
s214	69	Study1	Item074	492	5
s214	69	Study1	Item121	437	5
s214	69	Study1	Item137	506	5
s214	69	Study1	Item038	104	5
s214	69	Study1	Item087	382	5
s214	69	Study1	Item155	91	5
s214	69	Study1	Item065	785	5
s214	69	Study1	Item029	1473	5
s214	69	Study1	Item006	41	5
s214	69	Study1	Item170	1070	5
s214	69	Study1	Item014	241	5
s214	69	Study1	Item020	24	5
s214	69	Study1	Item072	114	5
s214	69	Study1	Item180	4425	5
s214	69	Study1	Item157	1424	5
s214	69	Study1	Item027	464	5
s214	69	Study1	Item158	38	5
s214	69	Study1	Item054	1281	5
s214	69	Study1	Item105	75	5
s214	69	Study1	Item167	26	5
s214	69	Study1	Item003	292	5
s214	69	Study1	Item166	725	5
s214	69	Study1	Item166	725	5
s214	69	Study1	Item111	510	5
s214	69	Study1	Item023	685	5
s214	69	Study1	Item075	81	5
s214	69	Study1	Item124	306	5
s214	69	Study1	Item040	132	5
s214	69	Study1	Item079	114	5
s214	69	Study1	Item025	201	5
s214	69	Study1	Item002	54	5
s214	69	Study1	Item153	45	5
s214	69	Study1	Item141	670	5
s214	69	Study1	Item108	321	5
s214	69	Study1	Item041	170	5
s214	69	Study1	Item134	111	5
s214	69	Study1	Item078	257	5
s214	69	Study1	Item052	181	5
s214	69	Study1	Item133	805	5
s214	69	Study1	Item173	471	5
s214	69	Study1	Item043	3	5
s214	69	Study1	Item163	19	5
s214	69	Study1	Item091	81	5
s214	69	Study1	Item181	188	5
s214	69	Study1	Item086	242	5
s214	69	Study1	Item145	82	5
s214	69	Study1	Item035	302	5
s214	69	Study1	Item015	543	5
s214	69	Study1	Item123	234	5
s214	69	Study1	Item059	1053	5
s214	69	Study1	Item084	397	5
s214	69	Study1	Item080	884	5
s214	69	Study1	Item106	24	5
s214	69	Study1	Item104	39	5
s214	69	Study1	Item068	28	5
s214	69	Study1	Item026	281	5
s214	69	Study1	Item126	428	5
s214	69	Study1	Item120	40	5
s214	69	Study1	Item001	215	5
s214	69	Study1	Item090	28	5
s214	69	Study1	Item037	248	5
s214	69	Study1	Item004	300	5
s214	69	Study1	Item055	261	5
s214	69	Study1	Item128	113	5
s214	69	Study1	Item070	88	5
s214	69	Study1	Item062	1010	5
s214	69	Study1	Item151	130	5
s214	69	Study1	Item051	194	5
s214	69	Study1	Item093	22	5
s214	69	Study1	Item164	56	5
s214	69	Study1	Item097	62	5
s214	69	Study1	Item083	541	5
s214	69	Study1	Item010	17	5
s214	69	Study1	Item125	345	5
s214	69	Study1	Item096	781	5
s214	69	Study1	Item099	115	5
s214	69	Study1	Item095	244	5
s214	69	Study1	Item053	586	5
s214	69	Study1	Item176	451	5
s214	69	Study1	Item138	151	5
s214	69	Study1	Item171	61	5
s214	69	Study1	Item109	121	5
s214	69	Study1	Item044	298	5
s214	69	Study1	Item136	1275	5
s214	69	Study1	Item130	78	5
s214	69	Study1	Item034	503	5
s214	69	Study1	Item032	99	5
s214	69	Study1	Item188	15	1
s214	69	Study1	Item046	1952	5
s214	69	Study1	Item028	12	5
s214	69	Study1	Item107	133	5
s214	69	Study1	Item048	318	5
s214	69	Study1	Item112	256	5
s214	69	Study1	Item186	239	5
s128	48	Study1	Item129	210	4
s128	48	Study1	Item172	135	5
s128	48	Study1	Item165	510	5
s128	48	Study1	Item011	952	4
s128	48	Study1	Item074	492	5
s128	48	Study1	Item121	437	5
s128	48	Study1	Item137	506	5
s128	48	Study1	Item038	104	5
s128	48	Study1	Item087	382	5
s128	48	Study1	Item155	91	5
s128	48	Study1	Item065	785	5
s128	48	Study1	Item029	1473	5
s128	48	Study1	Item006	41	5
s128	48	Study1	Item170	1070	5
s128	48	Study1	Item014	241	5
s128	48	Study1	Item020	24	5
s128	48	Study1	Item072	114	5
s128	48	Study1	Item180	4425	5
s128	48	Study1	Item157	1424	5
s128	48	Study1	Item027	464	5
s128	48	Study1	Item158	38	5
s128	48	Study1	Item054	1281	5
s128	48	Study1	Item105	75	5
s128	48	Study1	Item167	26	5
s128	48	Study1	Item003	292	5
s128	48	Study1	Item166	725	5
s128	48	Study1	Item166	725	5
s128	48	Study1	Item111	510	5
s128	48	Study1	Item023	685	5
s128	48	Study1	Item075	81	4
s128	48	Study1	Item124	306	5
s128	48	Study1	Item040	132	5
s128	48	Study1	Item079	114	5
s128	48	Study1	Item025	201	5
s128	48	Study1	Item002	54	5
s128	48	Study1	Item153	45	3
s128	48	Study1	Item141	670	5
s128	48	Study1	Item108	321	5
s128	48	Study1	Item041	170	5
s128	48	Study1	Item134	111	5
s128	48	Study1	Item078	257	5
s128	48	Study1	Item052	181	5
s128	48	Study1	Item133	805	5
s128	48	Study1	Item173	471	5
s128	48	Study1	Item043	3	5
s128	48	Study1	Item163	19	5
s128	48	Study1	Item091	81	5
s128	48	Study1	Item181	188	5
s128	48	Study1	Item086	242	5
s128	48	Study1	Item145	82	5
s128	48	Study1	Item035	302	3
s128	48	Study1	Item015	543	5
s128	48	Study1	Item123	234	5
s128	48	Study1	Item059	1053	5
s128	48	Study1	Item084	397	5
s128	48	Study1	Item080	884	5
s128	48	Study1	Item106	24	5
s128	48	Study1	Item104	39	5
s128	48	Study1	Item068	28	5
s128	48	Study1	Item026	281	3
s128	48	Study1	Item126	428	5
s128	48	Study1	Item120	40	5
s128	48	Study1	Item001	215	5
s128	48	Study1	Item090	28	5
s128	48	Study1	Item037	248	5
s128	48	Study1	Item004	300	5
s128	48	Study1	Item055	261	5
s128	48	Study1	Item128	113	5
s128	48	Study1	Item070	88	5
s128	48	Study1	Item062	1010	5
s128	48	Study1	Item151	130	5
s128	48	Study1	Item051	194	5
s128	48	Study1	Item093	22	4
s128	48	Study1	Item164	56	5
s128	48	Study1	Item097	62	5
s128	48	Study1	Item017	57	4
s128	48	Study1	Item083	541	5
s128	48	Study1	Item010	17	5
s128	48	Study1	Item125	345	5
s128	48	Study1	Item096	781	5
s128	48	Study1	Item099	115	5
s128	48	Study1	Item095	244	5
s128	48	Study1	Item053	586	5
s128	48	Study1	Item176	451	5
s128	48	Study1	Item138	151	5
s128	48	Study1	Item171	61	5
s128	48	Study1	Item103	10	4
s128	48	Study1	Item109	121	5
s128	48	Study1	Item044	298	5
s128	48	Study1	Item136	1275	5
s128	48	Study1	Item130	78	5
s128	48	Study1	Item034	503	5
s128	48	Study1	Item032	99	5
s128	48	Study1	Item188	15	3
s128	48	Study1	Item046	1952	5
s128	48	Study1	Item028	12	3
s128	48	Study1	Item107	133	5
s128	48	Study1	Item048	318	5
s128	48	Study1	Item112	256	5
s128	48	Study1	Item186	239	1
s247	29	Study1	Item129	210	4
s247	29	Study1	Item172	135	5
s247	29	Study1	Item165	510	5
s247	29	Study1	Item011	952	4
s247	29	Study1	Item074	492	5
s247	29	Study1	Item121	437	5
s247	29	Study1	Item137	506	5
s247	29	Study1	Item038	104	4
s247	29	Study1	Item087	382	4
s247	29	Study1	Item155	91	4
s247	29	Study1	Item065	785	5
s247	29	Study1	Item029	1473	5
s247	29	Study1	Item006	41	4
s247	29	Study1	Item170	1070	3
s247	29	Study1	Item014	241	5
s247	29	Study1	Item020	24	5
s247	29	Study1	Item072	114	4
s247	29	Study1	Item180	4425	5
s247	29	Study1	Item157	1424	5
s247	29	Study1	Item027	464	5
s247	29	Study1	Item158	38	5
s247	29	Study1	Item054	1281	5
s247	29	Study1	Item105	75	5
s247	29	Study1	Item167	26	5
s247	29	Study1	Item003	292	5
s247	29	Study1	Item166	725	5
s247	29	Study1	Item166	725	5
s247	29	Study1	Item111	510	5
s247	29	Study1	Item023	685	5
s247	29	Study1	Item075	81	2
s247	29	Study1	Item124	306	5
s247	29	Study1	Item040	132	5
s247	29	Study1	Item079	114	5
s247	29	Study1	Item025	201	5
s247	29	Study1	Item002	54	5
s247	29	Study1	Item153	45	5
s247	29	Study1	Item141	670	5
s247	29	Study1	Item108	321	5
s247	29	Study1	Item041	170	5
s247	29	Study1	Item134	111	5
s247	29	Study1	Item078	257	4
s247	29	Study1	Item052	181	4
s247	29	Study1	Item133	805	5
s247	29	Study1	Item173	471	5
s247	29	Study1	Item043	3	5
s247	29	Study1	Item163	19	4
s247	29	Study1	Item091	81	4
s247	29	Study1	Item181	188	5
s247	29	Study1	Item086	242	5
s247	29	Study1	Item145	82	5
s247	29	Study1	Item035	302	4
s247	29	Study1	Item015	543	5
s247	29	Study1	Item123	234	5
s247	29	Study1	Item059	1053	5
s247	29	Study1	Item084	397	5
s247	29	Study1	Item080	884	5
s247	29	Study1	Item106	24	4
s247	29	Study1	Item104	39	5
s247	29	Study1	Item068	28	5
s247	29	Study1	Item026	281	3
s247	29	Study1	Item126	428	5
s247	29	Study1	Item120	40	5
s247	29	Study1	Item001	215	5
s247	29	Study1	Item090	28	5
s247	29	Study1	Item037	248	5
s247	29	Study1	Item004	300	5
s247	29	Study1	Item055	261	5
s247	29	Study1	Item128	113	4
s247	29	Study1	Item070	88	5
s247	29	Study1	Item062	1010	5
s247	29	Study1	Item151	130	3
s247	29	Study1	Item051	194	5
s247	29	Study1	Item093	22	1
s247	29	Study1	Item164	56	5
s247	29	Study1	Item097	62	5
s247	29	Study1	Item017	57	4
s247	29	Study1	Item083	541	5
s247	29	Study1	Item010	17	3
s247	29	Study1	Item125	345	5
s247	29	Study1	Item096	781	5
s247	29	Study1	Item099	115	5
s247	29	Study1	Item095	244	5
s247	29	Study1	Item053	586	5
s247	29	Study1	Item176	451	4
s247	29	Study1	Item138	151	4
s247	29	Study1	Item171	61	4
s247	29	Study1	Item103	10	2
s247	29	Study1	Item109	121	5
s247	29	Study1	Item044	298	5
s247	29	Study1	Item136	1275	5
s247	29	Study1	Item130	78	5
s247	29	Study1	Item034	503	5
s247	29	Study1	Item032	99	5
s247	29	Study1	Item188	15	2
s247	29	Study1	Item046	1952	3
s247	29	Study1	Item028	12	4
s247	29	Study1	Item107	133	5
s247	29	Study1	Item048	318	5
s247	29	Study1	Item112	256	5
s247	29	Study1	Item186	239	1
s089	28	Study1	Item129	210	5
s089	28	Study1	Item172	135	5
s089	28	Study1	Item165	510	5
s089	28	Study1	Item011	952	5
s089	28	Study1	Item074	492	5
s089	28	Study1	Item121	437	5
s089	28	Study1	Item137	506	5
s089	28	Study1	Item038	104	5
s089	28	Study1	Item087	382	5
s089	28	Study1	Item155	91	5
s089	28	Study1	Item065	785	5
s089	28	Study1	Item029	1473	5
s089	28	Study1	Item006	41	5
s089	28	Study1	Item014	241	5
s089	28	Study1	Item020	24	5
s089	28	Study1	Item072	114	5
s089	28	Study1	Item180	4425	5
s089	28	Study1	Item157	1424	5
s089	28	Study1	Item027	464	5
s089	28	Study1	Item158	38	5
s089	28	Study1	Item054	1281	5
s089	28	Study1	Item105	75	1
s089	28	Study1	Item167	26	5
s089	28	Study1	Item003	292	5
s089	28	Study1	Item166	725	5
s089	28	Study1	Item166	725	5
s089	28	Study1	Item111	510	5
s089	28	Study1	Item023	685	5
s089	28	Study1	Item075	81	1
s089	28	Study1	Item124	306	5
s089	28	Study1	Item040	132	5
s089	28	Study1	Item079	114	5
s089	28	Study1	Item025	201	5
s089	28	Study1	Item002	54	5
s089	28	Study1	Item153	45	5
s089	28	Study1	Item141	670	5
s089	28	Study1	Item108	321	5
s089	28	Study1	Item041	170	5
s089	28	Study1	Item134	111	5
s089	28	Study1	Item078	257	5
s089	28	Study1	Item052	181	5
s089	28	Study1	Item133	805	5
s089	28	Study1	Item173	471	5
s089	28	Study1	Item043	3	5
s089	28	Study1	Item163	19	5
s089	28	Study1	Item091	81	5
s089	28	Study1	Item181	188	5
s089	28	Study1	Item086	242	5
s089	28	Study1	Item145	82	5
s089	28	Study1	Item035	302	5
s089	28	Study1	Item015	543	5
s089	28	Study1	Item123	234	4
s089	28	Study1	Item059	1053	5
s089	28	Study1	Item084	397	5
s089	28	Study1	Item080	884	5
s089	28	Study1	Item106	24	3
s089	28	Study1	Item104	39	5
s089	28	Study1	Item068	28	5
s089	28	Study1	Item026	281	5
s089	28	Study1	Item126	428	5
s089	28	Study1	Item120	40	5
s089	28	Study1	Item001	215	5
s089	28	Study1	Item090	28	5
s089	28	Study1	Item037	248	5
s089	28	Study1	Item004	300	5
s089	28	Study1	Item055	261	5
s089	28	Study1	Item128	113	5
s089	28	Study1	Item070	88	1
s089	28	Study1	Item062	1010	5
s089	28	Study1	Item151	130	5
s089	28	Study1	Item051	194	5
s089	28	Study1	Item093	22	1
s089	28	Study1	Item164	56	5
s089	28	Study1	Item097	62	5
s089	28	Study1	Item017	57	5
s089	28	Study1	Item083	541	5
s089	28	Study1	Item010	17	4
s089	28	Study1	Item125	345	5
s089	28	Study1	Item096	781	5
s089	28	Study1	Item099	115	5
s089	28	Study1	Item095	244	5
s089	28	Study1	Item053	586	5
s089	28	Study1	Item176	451	5
s089	28	Study1	Item138	151	5
s089	28	Study1	Item171	61	5
s089	28	Study1	Item103	10	4
s089	28	Study1	Item109	121	5
s089	28	Study1	Item044	298	5
s089	28	Study1	Item136	1275	5
s089	28	Study1	Item130	78	5
s089	28	Study1	Item034	503	5
s089	28	Study1	Item032	99	5
s089	28	Study1	Item188	15	1
s089	28	Study1	Item046	1952	5
s089	28	Study1	Item028	12	4
s089	28	Study1	Item107	133	5
s089	28	Study1	Item048	318	5
s089	28	Study1	Item112	256	5
s089	28	Study1	Item186	239	2
s051	57	Study1	Item129	210	4
s051	57	Study1	Item172	135	5
s051	57	Study1	Item165	510	5
s051	57	Study1	Item011	952	5
s051	57	Study1	Item074	492	5
s051	57	Study1	Item121	437	4
s051	57	Study1	Item137	506	4
s051	57	Study1	Item038	104	5
s051	57	Study1	Item087	382	5
s051	57	Study1	Item155	91	5
s051	57	Study1	Item065	785	4
s051	57	Study1	Item029	1473	4
s051	57	Study1	Item006	41	3
s051	57	Study1	Item170	1070	4
s051	57	Study1	Item014	241	5
s051	57	Study1	Item020	24	4
s051	57	Study1	Item072	114	5
s051	57	Study1	Item180	4425	4
s051	57	Study1	Item157	1424	5
s051	57	Study1	Item027	464	3
s051	57	Study1	Item158	38	5
s051	57	Study1	Item054	1281	5
s051	57	Study1	Item105	75	5
s051	57	Study1	Item167	26	5
s051	57	Study1	Item003	292	4
s051	57	Study1	Item166	725	5
s051	57	Study1	Item166	725	5
s051	57	Study1	Item111	510	3
s051	57	Study1	Item023	685	4
s051	57	Study1	Item075	81	5
s051	57	Study1	Item124	306	5
s051	57	Study1	Item040	132	5
s051	57	Study1	Item079	114	3
s051	57	Study1	Item025	201	4
s051	57	Study1	Item002	54	5
s051	57	Study1	Item153	45	3
s051	57	Study1	Item141	670	5
s051	57	Study1	Item108	321	3
s051	57	Study1	Item041	170	5
s051	57	Study1	Item134	111	4
s051	57	Study1	Item078	257	4
s051	57	Study1	Item052	181	3
s051	57	Study1	Item133	805	5
s051	57	Study1	Item173	471	4
s051	57	Study1	Item043	3	5
s051	57	Study1	Item163	19	3
s051	57	Study1	Item091	81	5
s051	57	Study1	Item181	188	4
s051	57	Study1	Item086	242	5
s051	57	Study1	Item145	82	4
s051	57	Study1	Item035	302	4
s051	57	Study1	Item015	543	5
s051	57	Study1	Item123	234	5
s051	57	Study1	Item059	1053	5
s051	57	Study1	Item084	397	5
s051	57	Study1	Item080	884	4
s051	57	Study1	Item104	39	5
s051	57	Study1	Item068	28	4
s051	57	Study1	Item026	281	4
s051	57	Study1	Item126	428	5
s051	57	Study1	Item120	40	4
s051	57	Study1	Item001	215	5
s051	57	Study1	Item090	28	5
s051	57	Study1	Item037	248	5
s051	57	Study1	Item004	300	4
s051	57	Study1	Item055	261	5
s051	57	Study1	Item128	113	4
s051	57	Study1	Item070	88	5
s051	57	Study1	Item062	1010	5
s051	57	Study1	Item151	130	5
s051	57	Study1	Item051	194	5
s051	57	Study1	Item093	22	4
